縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
臺中市,西屯,50,,良好,1.6,0.25,9.3,29,14,11,4,14.37,3.36,2016-05-22 07:00
臺中市,忠明,51,懸浮微粒,普通,1.2,0.22,14,18,8,8.1,3,10.5,2.41,2016-05-22 07:00
臺中市,大里,58,懸浮微粒,普通,1.5,0.3,14,18,0,11,3,14.68,3.48,2016-05-22 07:00
臺中市,沙鹿,46,,良好,0.4,0.24,21,12,1,6.9,2,8.27,1.36,2016-05-22 07:00
臺中市,豐原,21,,良好,3.1,0.27,25,8,10,5.8,2,7.42,1.62,2016-05-22 07:00
臺中市,西屯,46,,良好,1.9,0.23,14,28,7,10,3,13.21,2.72,2016-05-22 08:00
臺中市,忠明,44,,良好,1.6,0.29,9.6,18,3,12,3,17.24,4.97,2016-05-22 08:00
臺中市,大里,52,懸浮微粒,普通,1.5,0.34,11,15,3,12,3,16.07,4.33,2016-05-22 08:00
臺中市,沙鹿,39,,良好,0.3,0.33,18,15,11,12,2,14.06,2.3,2016-05-22 08:00
臺中市,豐原,14,,良好,3.1,0.54,16,6,7,15,1,19.65,4.2,2016-05-22 08:00
臺中市,西屯,42,,良好,1.9,0.36,8.4,26,4,20,3,27.47,7.13,2016-05-22 09:00
臺中市,忠明,39,,良好,1.3,0.31,17,21,4,12,2,14.7,2.64,2016-05-22 09:00
臺中市,大里,45,,良好,1.6,0.37,13,10,6,14,2,17.19,3.67,2016-05-22 09:00
臺中市,沙鹿,33,,良好,0.1,0.21,28,13,9,8.2,2,9.74,1.53,2016-05-22 09:00
臺中市,豐原,13,,良好,3.2,0.6,9.8,22,3,19,1,25.2,5.79,2016-05-22 09:00
臺中市,西屯,38,,良好,1.8,0.45,15,19,5,20,2,27.23,6.84,2016-05-22 10:00
臺中市,忠明,35,,良好,1.3,0.4,18,15,6,16,2,19.61,3.12,2016-05-22 10:00
臺中市,大里,36,,良好,1.6,0.36,19,3,5,13,2,15.47,2.95,2016-05-22 10:00
臺中市,沙鹿,29,,良好,0.2,0.29,25,15,7,14,2,15.57,1.92,2016-05-22 10:00
臺中市,豐原,20,,良好,2.9,0.28,24,9,4,7.8,1,9.91,2.09,2016-05-22 10:00
臺中市,西屯,35,,良好,2.2,0.49,20,20,12,20,2,25.01,5.42,2016-05-22 11:00
臺中市,忠明,33,,良好,1.7,0.51,21,21,6,19,2,24.94,5.81,2016-05-22 11:00
臺中市,大里,29,,良好,2.5,0.36,21,6,0,12,2,15.78,4.2,2016-05-22 11:00
臺中市,沙鹿,27,,良好,0.2,0.27,27,17,5,13,2,15.75,2.5,2016-05-22 11:00
