縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
新竹縣,竹東,44,,良好,2.4,0.3,25,38,31,7.5,3,10.74,3.24,2017-04-20 10:00
新竹縣,湖口,40,,良好,2,0.29,25,35,25,15,3,19.16,3.97,2017-04-20 10:00
新竹縣,竹東,42,,良好,2.2,0.31,24,38,,7.4,3,9.81,2.39,2017-04-20 11:00
新竹縣,湖口,40,,良好,2.2,0.31,21,36,24,19,3,24.38,5.44,2017-04-20 11:00
新竹縣,竹東,39,,良好,1.5,0.27,22,29,27,8.2,3,11.64,3.46,2017-04-20 12:00
新竹縣,湖口,38,,良好,1.5,0.22,24,29,21,11,3,16.65,5.93,2017-04-20 12:00
新竹縣,竹東,36,,良好,1.6,0.35,20,23,8,9.3,2,13.89,4.6,2017-04-20 13:00
新竹縣,湖口,35,,良好,1.2,0.24,27,21,18,9.5,3,14.99,5.49,2017-04-20 13:00
新竹縣,竹東,34,,良好,1.9,0.29,19,29,7,10,2,14.98,5,2017-04-20 14:00
新竹縣,湖口,31,,良好,1,0.19,35,19,20,4.8,3,7.17,2.33,2017-04-20 14:00
新竹縣,竹東,33,,良好,2,0.25,29,34,18,6.9,2,9.51,2.57,2017-04-20 15:00
新竹縣,湖口,34,,良好,0.9,0.18,40,20,19,2.8,2,5.08,2.27,2017-04-20 15:00
新竹縣,竹東,33,,良好,2,0.25,29,34,18,6.9,2,9.51,2.57,2017-04-20 15:00
新竹縣,湖口,34,,良好,0.9,0.18,40,20,19,2.8,2,5.08,2.27,2017-04-20 15:00
新竹縣,竹東,36,,良好,3.2,0.31,35,41,28,8.3,2,10.58,2.29,2017-04-20 17:00
新竹縣,湖口,32,,良好,1.3,0.17,38,23,19,2.7,2,4.68,1.96,2017-04-20 17:00
新竹縣,竹東,36,,良好,2.7,0.29,25,35,24,8.9,2,10.89,2.04,2017-04-20 18:00
新竹縣,湖口,32,,良好,1.1,0.18,38,24,19,2.5,2,4.98,2.48,2017-04-20 18:00
新竹縣,竹東,36,,良好,2.9,0.36,21,34,23,13,2,15.05,1.64,2017-04-20 19:00
新竹縣,湖口,29,,良好,1.3,0.19,35,27,17,3.5,2,5.23,1.78,2017-04-20 19:00
新竹縣,竹東,36,,良好,3.3,0.36,20,40,34,12,3,13.99,2.01,2017-04-20 20:00
新竹縣,湖口,26,,良好,3,0.21,25,28,20,8.6,2,10.38,1.83,2017-04-20 20:00
新竹縣,竹東,36,,良好,3.6,0.43,13,42,34,14,3,15.58,1.99,2017-04-20 21:00
新竹縣,湖口,26,,良好,2.3,0.21,22,24,19,6,2,7.76,1.72,2017-04-20 21:00
新竹縣,竹東,38,,良好,3,0.44,5.6,43,31,14,3,16.64,2.9,2017-04-20 22:00
新竹縣,湖口,25,,良好,7.7,0.41,7.6,21,20,18,2,20.7,2.72,2017-04-20 22:00
新竹縣,竹東,40,,良好,2.6,0.38,5.1,49,26,10,3,12.99,2.78,2017-04-20 23:00
新竹縣,湖口,24,,良好,5.9,0.29,9.9,22,18,15,2,17.38,2.46,2017-04-20 23:00
新竹縣,竹東,40,,良好,2.6,0.38,5.1,49,26,10,3,12.99,2.78,2017-04-20 23:00
新竹縣,湖口,24,,良好,5.9,0.29,9.9,22,18,15,2,17.38,2.46,2017-04-20 23:00
新竹縣,竹東,42,,良好,2.2,0.29,4.9,41,28,6.7,3,8.68,1.97,2017-04-21 01:00
新竹縣,湖口,22,,良好,2.3,0.24,11,22,12,11,2,12.55,1.75,2017-04-21 01:00
新竹縣,竹東,43,,良好,1.6,0.25,5.9,42,24,4.8,3,6.98,2.18,2017-04-21 02:00
新竹縣,湖口,23,,良好,4.4,0.23,11,29,12,11,2,12.88,1.84,2017-04-21 02:00
新竹縣,竹東,43,,良好,1.2,0.22,5.8,46,18,3.7,3,5.86,2.14,2017-04-21 03:00
新竹縣,湖口,25,,良好,4.5,0.21,13,28,16,11,2,12.74,1.69,2017-04-21 03:00
新竹縣,竹東,43,,良好,1.7,0.22,5.5,45,15,3.8,3,5.85,2.05,2017-04-21 04:00
新竹縣,湖口,25,,良好,3.2,0.17,10,24,15,12,2,14.3,1.96,2017-04-21 04:00
新竹縣,竹東,43,,良好,1.4,0.2,5.4,40,14,4.5,2,6.88,2.42,2017-04-21 05:00
新竹縣,湖口,25,,良好,3.4,0.16,13,21,15,12,2,13.62,1.33,2017-04-21 05:00
新竹縣,竹東,43,,良好,1.3,0.24,5,41,16,5,2,7.65,2.69,2017-04-21 06:00
新竹縣,湖口,24,,良好,4.2,0.19,19,21,15,14,2,15.68,1.45,2017-04-21 06:00
新竹縣,竹東,43,,良好,1.6,0.32,5,43,16,5.9,2,11.5,5.61,2017-04-21 07:00
新竹縣,湖口,23,,良好,5.7,0.24,16,21,17,18,2,22.67,4.83,2017-04-21 07:00
新竹縣,竹東,42,,良好,1.7,0.33,7.3,38,14,5.6,2,12.46,6.89,2017-04-21 08:00
新竹縣,湖口,22,,良好,5.3,0.3,21,19,16,13,2,18.94,5.8,2017-04-21 08:00
新竹縣,竹東,40,,良好,1.7,0.23,21,32,15,4.3,2,8.04,3.8,2017-04-21 09:00
新竹縣,湖口,22,,良好,4.7,0.23,27,22,15,9.4,2,14.15,4.71,2017-04-21 09:00
新竹縣,竹東,38,,良好,1.6,0.2,32,28,11,3.7,2,6.31,2.59,2017-04-21 10:00
新竹縣,湖口,34,,良好,3.2,0.19,40,23,15,7.3,2,9.43,2.16,2017-04-21 10:00
新竹縣,竹東,35,,良好,1.5,0.25,41,25,6,4.8,2,7.22,2.42,2017-04-21 11:00
新竹縣,湖口,36,,良好,4.1,0.22,44,24,18,7.5,2,10.31,2.83,2017-04-21 11:00
新竹縣,竹東,38,,良好,1.7,0.24,45,32,13,5.9,2,8.26,2.36,2017-04-21 12:00
新竹縣,湖口,37,,良好,5.1,0.25,44,32,22,8.6,2,10.99,2.35,2017-04-21 12:00
新竹縣,竹東,36,,良好,3.3,0.29,43,42,17,9.7,2,12.89,3.24,2017-04-21 13:00
新竹縣,湖口,30,,良好,2.8,0.14,37,31,20,3.2,2,4.96,1.78,2017-04-21 13:00
新竹縣,竹東,37,,良好,2.4,0.22,44,46,18,7.1,2,9.66,2.59,2017-04-21 14:00
新竹縣,湖口,27,,良好,1.9,0.12,32,24,18,1.5,2,2.73,1.28,2017-04-21 14:00
新竹縣,竹東,39,,良好,1.5,0.18,36,42,15,5.3,2,7.84,2.5,2017-04-21 15:00
新竹縣,湖口,26,,良好,2.2,0.12,31,27,19,2.7,2,3.77,1.13,2017-04-21 15:00
新竹縣,竹東,39,,良好,1.4,0.18,26,32,15,4.1,2,6.76,2.71,2017-04-21 16:00
新竹縣,湖口,27,,良好,4,0.19,32,37,22,9.1,2,11.07,1.97,2017-04-21 16:00
新竹縣,竹東,37,,良好,1.3,0.23,21,30,23,8.8,2,11.75,3,2017-04-21 17:00
新竹縣,湖口,35,,良好,3,0.23,43,47,36,8.7,2,10.37,1.65,2017-04-21 17:00
新竹縣,竹東,34,,良好,1,0.23,23,29,17,7.9,2,10.38,2.5,2017-04-21 18:00
新竹縣,湖口,35,,良好,2.4,0.22,42,42,41,7.4,3,7.99,.63,2017-04-21 18:00
新竹縣,竹東,31,,良好,0.8,0.22,24,21,7,6.5,2,8.77,2.25,2017-04-21 19:00
新竹縣,湖口,35,,良好,2.1,0.2,41,32,,5.3,3,6.6,1.35,2017-04-21 19:00
新竹縣,竹東,28,,良好,1,0.3,29,21,11,8.3,2,10.45,2.13,2017-04-21 20:00
新竹縣,湖口,52,臭氧,普通,2,0.39,63,23,20,5.4,3,6.04,.67,2017-04-21 20:00
新竹縣,竹東,40,,良好,0.8,0.42,49,24,8,7,2,8.83,1.88,2017-04-21 21:00
新竹縣,湖口,56,臭氧,普通,1.8,0.38,67,21,13,5.4,2,5.91,.48,2017-04-21 21:00
新竹縣,竹東,40,,良好,0.6,0.41,48,22,3,7,1,8.78,1.75,2017-04-21 22:00
新竹縣,湖口,53,臭氧,普通,1.5,0.35,64,31,20,6.2,2,7.58,1.43,2017-04-21 22:00
新竹縣,竹東,39,,良好,0.5,0.38,47,20,11,6.7,1,8.84,2.17,2017-04-21 23:00
新竹縣,湖口,51,臭氧,普通,1.3,0.22,62,33,21,5.2,2,6.16,.96,2017-04-21 23:00
新竹縣,竹東,37,,良好,0.6,0.3,45,18,12,6.2,1,8.52,2.32,2017-04-22 00:00
新竹縣,湖口,48,,良好,2.1,0.18,58,28,17,6.2,2,7.23,.99,2017-04-22 00:00
新竹縣,竹東,38,,良好,1.7,0.25,46,17,9,4.4,1,6.59,2.17,2017-04-22 01:00
新竹縣,湖口,47,,良好,4,0.17,56,25,16,6.1,2,7.25,1.16,2017-04-22 01:00
新竹縣,竹東,41,,良好,1.1,0.15,49,17,5,2,1,4.13,2.1,2017-04-22 02:00
新竹縣,湖口,49,,良好,0.5,0.16,59,22,16,5.1,2,5.99,.89,2017-04-22 02:00
新竹縣,竹東,41,,良好,1.1,0.13,49,17,2,1.9,1,3.49,1.64,2017-04-22 03:00
新竹縣,湖口,53,臭氧,普通,0.6,0.15,63,20,14,4.1,2,5,.92,2017-04-22 03:00
新竹縣,竹東,41,,良好,1,0.15,49,19,5,3.6,1,4.02,.47,2017-04-22 04:00
新竹縣,湖口,52,臭氧,普通,0.4,0.17,62,22,14,4.6,2,4.96,.37,2017-04-22 04:00
新竹縣,竹東,46,,良好,1.2,0.23,55,26,8,3,1,3.43,.49,2017-04-22 05:00
新竹縣,湖口,53,臭氧,普通,0.8,0.21,64,27,18,4.1,2,4.48,.39,2017-04-22 05:00
新竹縣,竹東,46,,良好,1.1,0.24,55,33,9,3.2,1,3.61,.39,2017-04-22 06:00
新竹縣,湖口,53,臭氧,普通,0.4,0.19,64,28,20,4.2,2,4.71,.49,2017-04-22 06:00
新竹縣,竹東,46,,良好,1.1,0.24,55,33,9,3.2,1,3.61,.39,2017-04-22 06:00
新竹縣,湖口,53,臭氧,普通,0.4,0.19,64,28,20,4.2,2,4.71,.49,2017-04-22 06:00
新竹縣,竹東,40,,良好,1.1,0.25,48,34,13,7,1,7.78,.77,2017-04-22 08:00
新竹縣,湖口,48,,良好,0.9,0.32,57,41,20,11,2,12.06,.78,2017-04-22 08:00
新竹縣,竹東,38,,良好,1.3,0.26,46,34,13,9.5,1,10.36,.84,2017-04-22 09:00
新竹縣,湖口,46,,良好,1.2,0.36,55,51,27,12,2,12.43,.64,2017-04-22 09:00
新竹縣,竹東,38,,良好,1.3,0.27,46,35,18,9.5,2,10.33,.84,2017-04-22 10:00
新竹縣,湖口,41,,良好,0.8,0.4,49,48,26,15,2,16.92,1.59,2017-04-22 10:00
新竹縣,竹東,33,,良好,1.3,0.32,39,35,17,16,2,16.96,1.45,2017-04-22 11:00
新竹縣,湖口,38,,良好,0.8,0.39,44,37,25,20,2,21.78,1.73,2017-04-22 11:00
新竹縣,竹東,33,,良好,1.3,0.31,40,33,16,13,2,13.85,1.32,2017-04-22 12:00
新竹縣,湖口,41,,良好,0.6,0.31,49,28,21,14,2,15.54,1.34,2017-04-22 12:00
新竹縣,竹東,35,,良好,1.6,0.28,42,33,18,11,2,12.98,1.52,2017-04-22 13:00
