縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
南投縣,竹山,37,,良好,3.4,0.25,35,37,22,,2,,,2017-04-20 10:00
南投縣,南投,44,,良好,2.8,0.48,23,43,16,11,2,15.6,4.2,2017-04-20 10:00
南投縣,埔里,35,,良好,2.2,0.24,25,32,17,5.8,2,8.3,2.54,2017-04-20 10:00
南投縣,竹山,38,,良好,3.5,0.29,34,48,29,13,2,14.73,1.92,2017-04-20 11:00
南投縣,南投,43,,良好,3.7,0.57,35,41,23,9.7,2,11.36,1.63,2017-04-20 11:00
南投縣,埔里,33,,良好,1.7,0.21,28,25,11,4.5,2,6.31,1.85,2017-04-20 11:00
南投縣,竹山,41,,良好,4.3,0.28,43,57,38,8.5,3,9.13,.6,2017-04-20 12:00
南投縣,南投,44,,良好,5.1,0.36,,51,32,13,3,15.75,2.57,2017-04-20 12:00
南投縣,埔里,30,,良好,1.9,0.23,26,21,13,5.9,2,7.98,2.07,2017-04-20 12:00
南投縣,竹山,45,,良好,3.1,0.22,44,54,34,5.4,3,5.72,.33,2017-04-20 13:00
南投縣,南投,46,,良好,,,,54,29,,3,,,2017-04-20 13:00
南投縣,埔里,30,,良好,2.2,0.32,33,34,28,11,2,14.3,2.9,2017-04-20 13:00
南投縣,竹山,47,,良好,2.6,0.28,38,49,26,7.7,3,8.39,.71,2017-04-20 14:00
南投縣,南投,46,,良好,,,,,,,3,,,2017-04-20 14:00
南投縣,埔里,32,,良好,2.5,0.34,27,40,34,13,2,15.74,2.81,2017-04-20 14:00
南投縣,竹山,47,,良好,2.4,0.2,37,48,29,8.5,3,11.04,2.59,2017-04-20 15:00
南投縣,南投,0,,,1.7,0.3,28,,27,,3,,,2017-04-20 15:00
南投縣,埔里,34,,良好,2,0.27,33,39,29,8.1,2,10,1.89,2017-04-20 15:00
南投縣,竹山,47,,良好,2.4,0.2,37,48,29,8.5,3,11.04,2.59,2017-04-20 15:00
南投縣,南投,0,,,1.7,0.3,28,,27,,3,,,2017-04-20 15:00
南投縣,埔里,34,,良好,2,0.27,33,39,29,8.1,2,10,1.89,2017-04-20 15:00
南投縣,竹山,47,,良好,2.1,0.22,36,50,29,9.8,3,13.01,3.19,2017-04-20 17:00
南投縣,南投,0,,,1.7,0.3,,45,24,9.3,3,10.78,1.5,2017-04-20 17:00
南投縣,埔里,37,,良好,2.2,0.29,31,37,23,9.4,3,11.74,2.3,2017-04-20 17:00
南投縣,竹山,48,,良好,2.2,0.25,32,52,29,8.8,3,9.69,.93,2017-04-20 18:00
南投縣,南投,46,,良好,2.1,,28,47,21,8.9,3,10.45,1.51,2017-04-20 18:00
南投縣,埔里,36,,良好,1.7,0.28,32,35,21,7.5,3,8.75,1.25,2017-04-20 18:00
南投縣,竹山,48,,良好,2.4,0.25,20,48,26,12,3,12.12,.18,2017-04-20 19:00
南投縣,南投,46,,良好,2.1,0.35,18,44,19,10,2,12.07,1.87,2017-04-20 19:00
南投縣,埔里,36,,良好,2,0.51,22,39,21,14,2,15.14,1.35,2017-04-20 19:00
南投縣,竹山,47,,良好,1.8,0.24,15,36,18,9.7,3,10.05,.34,2017-04-20 20:00
南投縣,南投,44,,良好,2.3,0.29,13,35,18,9.9,2,13.39,3.51,2017-04-20 20:00
南投縣,埔里,36,,良好,2.3,0.49,16,40,23,14,2,15.61,1.57,2017-04-20 20:00
