縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
彰化縣,彰化,54,懸浮微粒,普通,4.3,0.39,38,54,44,14,5,16.33,2.5,2017-04-20 10:00
彰化縣,線西,54,懸浮微粒,普通,4.2,0.46,41,41,34,5.9,4,6.98,1.13,2017-04-20 10:00
彰化縣,彰化,54,懸浮微粒,普通,3.8,0.36,38,53,36,9.9,5,12.46,2.58,2017-04-20 11:00
彰化縣,線西,53,懸浮微粒,普通,5.9,0.19,43,50,25,4.3,4,4.79,.47,2017-04-20 11:00
彰化縣,彰化,54,懸浮微粒,普通,1.9,0.23,42,59,36,6.7,4,8.97,2.26,2017-04-20 12:00
彰化縣,線西,52,懸浮微粒,普通,5.2,0.31,40,54,22,4.8,3,5.53,.79,2017-04-20 12:00
彰化縣,彰化,54,懸浮微粒,普通,2,0.31,38,54,23,8.7,4,10.66,2,2017-04-20 13:00
彰化縣,線西,50,,良好,2.5,0.2,36,36,22,5.9,3,7.01,1.08,2017-04-20 13:00
彰化縣,彰化,53,懸浮微粒,普通,4.1,0.28,38,51,22,7.5,3,9.9,2.44,2017-04-20 14:00
彰化縣,線西,49,,良好,2,0.18,36,40,20,6.4,3,8.04,1.65,2017-04-20 14:00
彰化縣,彰化,52,懸浮微粒,普通,2.4,0.22,38,47,18,7.5,3,9.2,1.7,2017-04-20 15:00
彰化縣,線西,47,,良好,1.9,0.16,32,44,20,5.1,3,6.06,.96,2017-04-20 15:00
彰化縣,彰化,52,懸浮微粒,普通,2.4,0.22,38,47,18,7.5,3,9.2,1.7,2017-04-20 15:00
彰化縣,線西,47,,良好,1.9,0.16,32,44,20,5.1,3,6.06,.96,2017-04-20 15:00
彰化縣,彰化,50,,良好,2.1,0.19,31,51,36,7.6,3,9.66,2.06,2017-04-20 17:00
彰化縣,線西,44,,良好,3.2,0.14,35,41,25,4.9,3,5.94,1.02,2017-04-20 17:00
彰化縣,彰化,50,,良好,2.5,0.29,19,42,33,12,3,14.36,2.74,2017-04-20 18:00
彰化縣,線西,44,,良好,4.4,0.17,26,42,18,8.4,3,9.91,1.47,2017-04-20 18:00
彰化縣,彰化,48,,良好,2.4,0.35,10,40,27,17,3,19.36,2.45,2017-04-20 19:00
彰化縣,線西,42,,良好,4.4,0.18,25,39,17,9.8,3,10.45,.63,2017-04-20 19:00
彰化縣,彰化,47,,良好,3.4,0.28,11,42,21,16,3,18.11,2.35,2017-04-20 20:00
彰化縣,線西,41,,良好,2.6,0.19,24,36,18,8,2,8.76,.81,2017-04-20 20:00
